source	target	wave4_scan_decision	wave4_final_decision	rationale
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/mode/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/module/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/AGENTS_HEAL_PHASE80.patch	devkit/patches/AGENTS_HEAL_PHASE80.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/ARCHIVATOR_HEAL_PHASE80.patch	devkit/patches/ARCHIVATOR_HEAL_PHASE80.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/LAM_HEAL_PHASE80_FAISS_LOG.patch	devkit/patches/LAM_HEAL_PHASE80_FAISS_LOG.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/LAM_MAP_DAWN_SYNC.patch	devkit/patches/LAM_MAP_DAWN_SYNC.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/SEGMENTER_CHRONICLER_PHASE80.patch	devkit/patches/SEGMENTER_CHRONICLER_PHASE80.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/SEGMENTER_HEAL_PHASE80.patch	devkit/patches/SEGMENTER_HEAL_PHASE80.patch	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/TEST_AGENT_HEAL_INTEGRITY.py	devkit/patches/TEST_AGENT_HEAL_INTEGRITY.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/lam_logging_unified.py	devkit/patches/lam_logging_unified.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/logging_utils_unified.py	devkit/patches/logging_utils_unified.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/memory_core_healed.py	devkit/patches/memory_core_healed.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/time_sense_harmonized.py	devkit/patches/time_sense_harmonized.py	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/protocol/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/space/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/structure/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/surrounds/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/system/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/territory/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/tree/.gitkeep	mode/.gitkeep	KEEP_TARGET_IDENTICAL	KEEP_TARGET	exact hash match
