source	target	status	origin	decision	similarity_ratio	source_only_lines	target_only_lines	source_only_funcs	target_only_funcs	notes
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/SEGMENTER_CHRONICLER_PHASE80.patch	devkit/patches/SEGMENTER_CHRONICLER_PHASE80.patch	RESTORED_BY_COPY	queue_log	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/SEGMENTER_HEAL_PHASE80.patch	devkit/patches/SEGMENTER_HEAL_PHASE80.patch	RESTORED_BY_COPY	queue_log	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/TEST_AGENT_HEAL_INTEGRITY.py	devkit/patches/TEST_AGENT_HEAL_INTEGRITY.py	RESTORED_BY_COPY	queue_log	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/lam_logging_unified.py	devkit/patches/lam_logging_unified.py	RESTORED_BY_COPY	queue_log	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/logging_utils_unified.py	devkit/patches/logging_utils_unified.py	RESTORED_BY_COPY	queue_log	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/memory_core_healed.py	devkit/patches/memory_core_healed.py	RESTORED_BY_COPY	queue_log	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/patches/time_sense_harmonized.py	devkit/patches/time_sense_harmonized.py	RESTORED_BY_COPY	queue_log	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/WORKFLOW_SNAPSHOT_STATE.md	gov/WORKFLOW_SNAPSHOT_STATE.md	MERGE_CANDIDATE	restore_map	MERGE_REQUIRED_BIDIRECTIONAL	0.5208	16	30			both sides contain unique content
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/AGENT_INSTRUCTIONS.md	VLRM/AGENT_INSTRUCTIONS.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/DATA_RETENTION_AND_SECURE_ERASURE_POLICY.md	policy/DATA_RETENTION_AND_SECURE_ERASURE_POLICY.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/DEV_MAP.md	VLRM/map/DEV_MAP.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/EVIDENCE_POLICY.md	policy/EVIDENCE_POLICY.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/GLOBAL_DEEP_PLAN_PHASE80.md	gov/GLOBAL_DEEP_PLAN_PHASE80.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/INTERACTION_PROTOCOL.md	gov/INTERACTION_PROTOCOL.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	MERGE_REQUIRED_BIDIRECTIONAL	0.9807	4	39			both sides contain unique content
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/OS_DEV_MAP.md	VLRM/map/OS_DEV_MAP.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/PUBLIC_SHARE_PROTOCOL.md	protocol/PUBLIC_SHARE_PROTOCOL.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/RADRILONIUMA_MANIFESTO.md	VLRM/RADRILONIUMA_MANIFESTO.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/ROADMAP_MAP.md	VLRM/map/ROADMAP_MAP.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/SYSTEM_STATE_CONTRACT.md	contract/SYSTEM_STATE_CONTRACT.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/TASK_MAP.md	VLRM/map/TASK_MAP.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	MERGE_REQUIRED_BIDIRECTIONAL	0.9853	2	6			both sides contain unique content
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/TOOL_EXECUTION_SAFETY_PROTOCOL_V2.md	gov/TOOL_EXECUTION_SAFETY_PROTOCOL_V2.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/TOPOLOGY_MAP.md	VLRM/map/TOPOLOGY_MAP.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
Archive/Quarantine/DeepArchive/LRPT_DUPLICATE_ONLY_20260303T123500Z/WORKFLOW_SNAPSHOT_CONTRACT.md	contract/WORKFLOW_SNAPSHOT_CONTRACT.md	DUPLICATE_DEEP_ARCHIVE	deep_archive	KEEP_TARGET_IDENTICAL	1.0000	0	0			byte-identical; archive copy can stay archived
